FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,carbon_mean,carbon_median,carbon_min,carbon_max,carbon_suggested_value,water_mean,water_median,water_min,water_max,water_suggested_value
AGRICULTURAL PROCESSED,NUTS PASTE,,HAZELNUT PASTE,1.69,1.69,1.59,1.78,TYPOLOGY,,,,,
FISHING,FISH,,HERRING,2.21,1.24,0.66,4.55,ITEM,,,,,
FISHING,FISH FROZEN,,HERRING (F),1.31,1.3,0.98,1.65,ITEM,,,,,
ANIMAL HUSBANDRY,HONEY*,,HONEY*,1.74,1.74,0.94,2.55,ITEM matching with TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,ICE CREAM,,ICE CREAM,1.02,1.02,1.02,1.02,TYPOLOGY,,,,,
ANIMAL HUSBANDRY,KANGAROO MEAT*,,KANGAROO MEAT*,4.1,4.1,4.1,4.1,ITEM matching with TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,DRESSING,,KETCHUP,1.46,1.46,1.46,1.46,TYPOLOGY,534,534,534,534,ok item
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",KIWI,0.65,0.49,0.27,1.61,ITEM,514,514,514,514,ok item
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),,KIWI JUICE (I),2.84,2.84,2.84,2.84,TYPOLOGY,,,,,
FISHING,SHELLFISH,,KRILL,5.54,5.54,5.54,5.54,TYPOLOGY,,,,,
ANIMAL HUSBANDRY,LAMB BONE FREE MEAT*,,LAMB BONE FREE MEAT*,27.21,25.23,10.05,56.7,ITEM,10412,10412,10412,10412,item matching typology
ANIMAL HUSBANDRY,LAMB MEAT WITH BONE*,,LAMB MEAT WITH BONE*,18.01,16.7,6.68,37.47,ITEM,5235,4362,2782,8561,item matching typology
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUBTYP),LEMON,0.22,0.22,0.18,0.26,TYPOLOGY,642,642,642,642,ok item
CROPS,LEGUMES,,LENTIL,1.03,1.03,1,1.06,TYPOLOGY,5874,5874,5874,5874,ok item
CROPS,VEGETABLES OPENFIELD,GREEN LEAFY VEGETABLES (SUB TYP),LETTUCE,0.4,0.41,0.13,0.62,ITEM,212,237,110,290,ok item
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUBTYP),LIME,0.22,0.22,0.18,0.26,TYPOLOGY,642,642,642,642,ok item
FISHING,FISH,,LING,6.45,6.45,3.13,9.77,TYPOLOGY,,,,,
FISHING,SHELLFISH,,LOBSTER,19.3,20.25,7.72,28.3,ITEM,,,,,
FISHING,FISH,,MACKEREL,2.05,1.8,0.25,5.45,ITEM,,,,,
FISHING,FISH FROZEN,,MACKEREL (F),1.11,0.99,0.84,1.51,TYPOLOGY,,,,,
CROPS,GRAINS,,MAIZE,0.79,0.48,0.4,1.64,ITEM or TYPOLOGY,1383,1191,760,2540,ok item
AGRICULTURAL PROCESSED,GRAIN FLOUR,,MAIZE FLOUR,1.31,1.31,1.31,1.31,TYPOLOGY,,,,,
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUBTYP),MANDARIN,0.4,0.45,0.22,0.51,ITEM,748,748,748,748,ok item
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",MANGO,0.33,0.31,0.25,0.44,ITEM,2000,1855,1430,2860,ok item
AGRICULTURAL PROCESSED,FRUIT JUICE (imported ingredients),,MANGO JUICE (I),2.96,2.96,2.96,2.96,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,MARGARINE*,,MARGARINE*,1.43,1.39,1.1,1.8,ITEM matching with TYPOLOGY,1324,1324,1324,1324,item matching typology
ANIMAL HUSBANDRY,CHEESE FRESH,,MASCARPONE,5.7,5.7,5.7,5.7,TYPOLOGY,6100,6100,6100,6100,typology
AGRICULTURAL PROCESSED,DRESSING,,MAYONNAISE,2.04,2.04,2.04,2.04,TYPOLOGY,,,,,
ANIMAL HUSBANDRY,EDIBLE INSECTS* (mealworms),,MEALWORMS*,2.84,2.84,2.84,2.84,ITEM matching with TYPOLOGY,4341,4341,4341,4341,item matching typology
FISHING,FISH,,MEGRIM,14.15,14.15,14.15,14.15,TYPOLOGY,,,,,
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",MELON,0.56,0.61,0.3,0.76,ITEM,,,,,
CROPS,FRUIT NOT HEATED GREENHOUSE* (melon),,MELON (g)*,1.41,1.43,1.24,1.55,ITEM,,,,,
AGRICULTURAL PROCESSED,CHOCOLATE,,MILK CHOCOLATE,3.6,3.6,3.6,3.6,TYPOLOGY,,,,,
CROPS,GRAINS,,MILLET,0.86,0.86,0.47,1.24,TYPOLOGY,4478,4478,4478,4478,ok item
AGRICULTURAL PROCESSED,GRAIN FLOUR,,MILLET FLOUR,1.37,1.37,1.37,1.37,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,BOTTLED WATER* (mineral water),,MINERAL WATER*,0.49,0.49,0.42,0.56,ITEM matching with TYPOLOGY,,,,,
CROPS,NUTS,,MIXED NUTS,0.47,0.47,0.47,0.47,TYPOLOGY,9063,9063,9063,9063,ok item
ANIMAL HUSBANDRY,CHEESE FRESH,,MOZZARELLA,8.48,8.2,6.27,11.95,ITEM,9672,9410,9215,10390,typology
AGRICULTURAL PROCESSED,LEGUME FLOUR,,MUNG BEAN FLOUR,1.49,1.49,1.49,1.49,TYPOLOGY,,,,,
CROPS,MUSHROOM*,,MUSHROOM*,1.78,2.06,0.2,3.09,ITEM,,,,,
FISHING,SHELLFISH,BIVALVES* (SUBTYP) (Mussels),MUSSELS,0.94,0.46,0.12,2.54,ITEM,,,,,
ANIMAL HUSBANDRY,PORK CURED MEAT,,NECK,4.03,4.03,3,5.05,TYPOLOGY,,,,,
CROPS,GRAINS,,OAT,0.7,0.67,0.38,1.1,ITEM,1788,1788,1788,1788,ok item
AGRICULTURAL PROCESSED,GRAIN FLOUR,,OAT MEAL,1.13,0.87,0.69,2.32,ITEM,2536,2536,2536,2536,ok item
FISHING,SHELLFISH,CEPHALOPOD (SUBTYP),OCTOPUS,5.8,5.8,4.25,7.35,TYPOLOGY,,,,,
FISHING,SHELLFISH FROZEN,,OCTOPUS (F),7.88,7.88,7.88,7.88,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,OIL,,OLIVE OIL,3.84,3.27,0.63,17.53,ITEM,14416,14416,14400,14431,ok item
CROPS,FRUIT OPENFIELD,OLIVES* (SUBTYP),OLIVES,0.59,0.64,0.22,0.85,ITEM,4972,3015,2750,9150,
CROPS,VEGETABLES OPENFIELD,ROOTS & BULBS (SUBTYP),ONION,0.24,0.22,0.06,0.52,ITEM,290,290,272,309,ok item
CROPS,FRUIT OPENFIELD,CITRUS FRUIT (SUBTYP),ORANGE,0.35,0.3,0.18,0.87,ITEM,654,654,560,748,ok item
AGRICULTURAL PROCESSED,FRUIT JUICE LOCAL,,ORANGE JUICE,0.62,0.46,0.24,2,ITEM,1019,1019,1018,1020,ok item
CROPS,NUTS,,PALM NUT,0.8,0.8,0.8,0.8,TYPOLOGY,2868,2868,2868,2868,ok item
AGRICULTURAL PROCESSED,OIL,,PALM OIL,2.32,2.43,1.01,3.32,ITEM,4971,4971,4971,4971,ok item
ANIMAL HUSBANDRY,CHEESE HARD & SEMIHARD,,PARMIGIANO REGGIANO,14.08,12.54,9.15,20.54,TYPOLOGY,10200,10200,10200,10200,typology
AGRICULTURAL PROCESSED,PASTA*,,PASTA*,1.24,1.21,0.55,2.3,ITEM,1651,1509,590,2517,item matching typology
CROPS,LEGUMES,,PEA,0.58,0.45,0.15,2.6,ITEM,1979,1979,1979,1979,ok item
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",PEACH,0.43,0.39,0.23,0.83,ITEM,827,910,450,1120,ok item
CROPS,NUTS,,PEANUT,0.89,0.83,0.28,1.35,ITEM,2645,2782,1330,3974,ok item
AGRICULTURAL PROCESSED,NUTS PASTE,,PEANUT BUTTER,1.15,1.15,1.15,1.15,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,OIL,,PEANUT OIL,2.9,2.9,0.94,4.86,TYPOLOGY,7529,7529,7529,7529,ok item
AGRICULTURAL PROCESSED,NUTS PASTE,,PEANUT PASTE,1.84,1.84,1.75,1.93,TYPOLOGY,,,,,
